,IL2,IL18,IL4,IL7,IL27,IFNA2,FLT3LG,CXCL12,CCL4,IL5,LIF,CXCL1,CD40LG,CCL2,IL13,CCL5,IL3,IL10,IL6,CCL24,IL17A,CSF1,CCL13,CCL11,TNF,CXCL13,CSF3,IL12B,IL31,CCL27,IL22,IL20,FASLG,TNFSF10,IL17F,TGFA,CCL7,CCL3,TGFB1,CCL8,IFNB1,CXCL8,IL1B,CXCL9,IL9,CXCL5,CCL1,IL1A,CSF2,HGF,IL23A,CXCL10,IFNG,EGF,IL21
LIF,0.4752316077276559,0.2374213045325973,0.7193894412407571,0.5265783161028058,0.8713794163063225,0.0,0.0,0.24866399471015868,0.1079514416547306,0.7428237692892564,1.0,0.39781112458481505,0.18017780908198067,0.2106452914770606,0.6834568765026876,0.23190364531851715,0.0,0.22466472382706096,-0.06404993804406173,0.0,0.29224331757849853,0.12099247972646723,0.0,0.5986443536364514,0.3714752247244755,0.0,0.5976924396954596,0.42655451239659614,0.10168047802279691,0.0,0.3079283567805197,0.0,0.2239005363301895,0.21535675706026708,0.516358450733334,0.3785546787794523,0.46971535041896606,0.12187480833006004,0.5379815792146754,0.0,0.3770755514564291,0.015925709760664843,0.2802978714423838,0.2533925252911286,0.07818388870440546,0.2104582472917443,0.0,0.295477237917339,0.570797480554241,0.44888998578933254,0.18678594478940455,0.514828802397028,0.5778868910408197,-0.08739076154806492,0.08529316612713284
CXCL1,0.3068112013066518,0.2010605513017437,0.28310029804162984,0.23913836045243617,0.10604245809630475,0.033893557422969185,0.24395604395604395,0.1470129689373056,0.31851173130003724,0.5354719911912273,0.39781112458481505,1.0,-0.06148742502729683,0.2680228184333097,0.5155643208159502,0.362497596970238,0.5,-0.09334317260840912,-0.23129590050556845,0.13406593406593406,0.2798081270256929,0.42118043621918005,-0.6993006993006993,0.2053764976958068,0.36189380499860496,0.3181818181818182,0.523188039277407,0.5485509819756635,-0.6827874395611592,0.7272727272727273,0.18318256194111301,-0.6904761904761905,0.5304578240393992,0.3344315097566982,0.35681614604364315,0.17215713907343774,0.3690515774716497,0.27697510219979943,0.16920519398949177,0.6703296703296703,0.16168892519848696,0.2440660659555066,0.2006071160989113,0.3531749368222003,-0.05545198921110278,0.222113010528181,0.6395604395604395,0.2401004708842167,0.3923124647354418,0.3317153248279286,-0.4175820325221032,0.22513089756343643,0.6591680588890534,0.06049985483955298,-0.29582944404381806
CD40LG,0.22744317154133253,0.48727918586789554,0.2614539188468019,0.15941774314884566,0.7285412262156448,0.09387351778656126,0.05357142857142857,0.3056257175660161,0.06108214878865868,0.12829743808004668,0.18017780908198067,-0.06148742502729683,1.0,0.09509969610099557,0.05889690817431987,0.11425131967092177,-0.1,0.22185236067591227,0.22587495727704898,0.0,0.3879245530482968,-0.09814786225363438,0.0,0.3491247697379756,0.007588654667483062,0.0,0.017764839845902318,0.010777577137807645,0.03256942133953779,0.0,0.29439699896240723,0.0,-0.047882596985391004,0.2938370516907571,-0.025108261102987472,-0.09968552105376158,0.12614763547029278,0.36750999698106146,0.4334445840212038,0.0,0.44486378247872715,0.034380607927137014,0.17781008206021964,0.14996890648244626,0.06065955010404602,0.05534383859544898,0.0,0.20723819609376928,-0.03823362218330212,0.09479683516923362,-0.05822356539440587,0.37874353231685876,-0.1472664316282166,0.28782287825224406,0.060331510284907734
CCL2,0.3518968611708199,0.35453296703296705,0.2400582160753887,0.25101505497123616,0.13334340078526125,0.11042735042735043,0.17857142857142858,0.13386613386613386,0.34382204081934603,0.20812242465903544,0.2106452914770606,0.2680228184333097,0.09509969610099557,1.0,0.20728596210118122,0.03684695165027314,0.0,0.11225886767966883,0.248327643852222,-0.4636363636363636,0.16644700544840407,0.19915400790862214,0.05,0.2825439550747139,0.39024686752921234,0.4523809523809524,0.14767392379348923,0.331177983243232,-0.042000796243244314,0.3333333333333333,0.31011184486773297,-0.1,0.11744276532592607,0.30418717690872027,0.10563686376883705,0.09163947011452099,0.3701939897140938,0.3212763832835069,0.1486476477985623,0.32727272727272727,0.09252291164222906,0.15020253362120872,0.33627412520421734,0.27512843157307265,-0.12844213724883913,0.09062276115613589,0.16363636363636364,0.23558258760806589,0.15941554612692263,0.2156184675908775,-0.024076742075298262,0.3655832290679978,0.30233949759991663,0.047743517840547214,0.04721471138440688
IL13,0.3919903972441529,0.34061624649859945,0.5746992461399546,0.5424000602234675,0.6943152606551531,0.7904338153503894,-0.7714285714285715,0.33903225125649816,0.1757167236062818,0.7843087538528737,0.6834568765026876,0.5155643208159502,0.05889690817431987,0.20728596210118122,1.0,0.2884773422053511,0.4,0.19731664223904904,-0.10211130628117429,0.25588235294117645,0.2936205351932524,0.3346326579487568,-0.4175824175824176,0.4651078643968945,0.40267403322238604,0.6868131868131868,0.507014797657844,0.46100051516219004,0.11724780542106682,0.701098901098901,0.2675236604468681,-0.06666666666666667,0.48793935848434744,0.276408820517504,0.4050849597200677,0.2839731841718007,0.4616446686634024,0.11466862725613743,0.43558926941040105,0.6294117647058823,0.23643109652601613,0.11228158861632793,0.2730197706643621,0.26359146614519446,0.5117765262848536,0.29374992207904405,0.7794117647058824,0.3023457604110623,0.5863104424542674,0.42512078765287453,0.3515549959177784,0.423308242139187,0.5748101692798006,0.12089805218261135,0.6021011162179908
CCL5,0.22362299033716748,-0.04366258741258741,0.1957686207514042,0.21543632620478131,0.13953488372093023,0.041176470588235294,0.0,0.03176277543366151,0.05251897291281238,0.3090081212817289,0.23190364531851715,0.362497596970238,0.11425131967092177,0.03684695165027314,0.2884773422053511,1.0,0.0,-0.18991041182963875,-0.2999478692333782,0.3274725274725275,0.26927386256173275,0.05361339038624735,0.6,0.2743667307585255,0.023274608123530435,0.46153846153846156,0.37659697101272954,0.2563037437886265,-0.19788540097486712,-0.14285714285714285,0.10449397150164413,0.11904761904761904,0.526521962488102,0.1871694996594728,0.11392092538054485,-0.05089684949741626,0.1526850318843253,0.0067444925443050485,0.3099674669434048,0.05054945054945055,0.19657803554489264,-0.0035150808968672357,0.00933286604312116,0.13868976336420222,-0.20950467081495167,0.16112964536692928,0.34065934065934067,0.11837916277964204,0.3239210652871585,0.18199729563660993,0.21403993257200382,0.1958573472910745,0.2173670360980275,0.1814190963190443,0.023764304003527092
IL3,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.4,0.5,0.0,0.5,-0.1,0.0,0.4,0.0,1.0,0.2,0.5,0.0,0.0,0.0,0.0,0.1,0.2,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.1,0.0,0.0,0.0,0.2,0.5,0.0,1.0,0.0,0.0,-0.5,0.2,0.0,0.0,0.0,0.5,-0.2,0.0
IL10,0.06482995625532476,0.6200980392156863,0.4115346614141581,0.24725417559963286,0.7853457172342622,0.4315270935960591,0.03571428571428571,0.3814516129032258,0.19181314897166668,0.2072366808170718,0.22466472382706096,-0.09334317260840912,0.22185236067591227,0.11225886767966883,0.19731664223904904,-0.18991041182963875,0.2,1.0,0.2767785360806123,-0.03529411764705882,0.12114811061247036,0.06877844560461141,-0.7747252747252747,0.20387079649779896,0.1289757987377237,0.08791208791208792,-0.019041931094071932,0.053465973681871524,-0.49047557975422523,0.34945054945054943,0.6986584107327142,-0.03333333333333333,-0.1245547600846093,0.19018366617381643,-0.05664667004262207,0.15424045330096903,0.22736692199501565,0.1539734271461222,0.21016827222035064,0.2323529411764706,0.07629254752678791,0.12064119838033495,0.22611199407909777,0.22308278390193365,0.03863908416875542,0.07616868880419794,0.48823529411764705,0.19463188099077602,0.10280106981466001,0.19701524038166796,-0.19558423327543806,0.25597997662969707,0.04308511099833794,-0.01936651583710407,0.42892156862745096
IL6,0.1475282482154415,0.37204372473453917,0.01280144024863558,0.017485244263896894,0.655765442094689,0.6596774193548387,-0.10714285714285714,0.08400278778732756,0.38616776650506024,-0.1861989404539779,-0.06404993804406173,-0.23129590050556845,0.22587495727704898,0.248327643852222,-0.10211130628117429,-0.2999478692333782,0.5,0.2767785360806123,1.0,0.16470588235294117,0.17537660799717733,-0.027543478466213432,-0.7032967032967034,-0.019643290352186957,0.25555844373901704,0.47802197802197804,-0.23755593013046036,-0.04249895782469061,0.485482612759118,0.6175824175824176,0.17958886010391578,-0.23333333333333334,-0.23051798531337236,0.33480584099036614,-0.1773382766522021,0.12856261957028114,0.10816935231686388,0.3552061880217103,0.028984094698664364,0.6617647058823529,0.13308529492033777,0.1771021083981219,0.3708143037930708,0.12783898503876578,0.30347820372142,0.00792543954457756,0.8411764705882353,0.27411573651285565,-0.19305538355987,-0.10026724462854265,0.1304246052684806,0.26050187458382934,-0.18841300199253885,0.12446287409406162,-0.0237138306801819
CCL24,0.42657342657342656,0.0,-0.046153846153846156,0.5235294117647059,0.0,0.20294117647058824,0.0,0.041758241758241756,0.27058823529411763,0.0,0.0,0.13406593406593406,0.0,-0.4636363636363636,0.25588235294117645,0.3274725274725275,0.0,-0.03529411764705882,0.16470588235294117,1.0,0.37362637362637363,0.0,0.3901098901098901,-0.06764705882352941,0.15294117647058825,0.31868131868131866,0.15,0.3,0.0,0.2879120879120879,0.0,0.5,0.0,0.0,0.0,0.0,-0.23636363636363636,0.22727272727272727,0.0,0.052941176470588235,0.0,0.07058823529411765,0.26593406593406593,-0.05934065934065934,0.0,0.26176470588235295,0.5147058823529411,0.25588235294117645,0.3205882352941177,0.0,0.017857142857142856,-0.23823529411764705,0.29705882352941176,0.11470588235294117,0.0
IL17A,0.5193996392818604,0.21637630662020907,0.28250325364253626,0.302040308309317,0.8704433497536945,-0.36764705882352944,0.7,0.291866028708134,0.30294128570375245,0.32805920837243463,0.29224331757849853,0.2798081270256929,0.3879245530482968,0.16644700544840407,0.2936205351932524,0.26927386256173275,0.0,0.12114811061247036,0.17537660799717733,0.37362637362637363,1.0,0.22815482034235185,0.2909090909090909,0.2337926059780835,0.16954646609320023,-0.32727272727272727,0.24111145305680062,0.211830370253224,-0.3481317452046341,0.1888111888111888,0.3207892882311487,0.7380952380952381,0.26461053904385,0.4090565822232046,0.022404285179083425,-0.1650252148796198,0.353772631398749,0.3549402381399561,0.4024568073841679,-0.6318681318681318,0.37951353263758686,0.37682416997448676,0.2521533286983775,0.2708336868907543,-0.21667727151934044,0.12491235943607285,-0.3076923076923077,0.38094737078115554,0.0820828421194372,0.056115533397946414,-0.2118768083691731,0.42815658558548386,0.21194582445558197,-0.19372051828279888,0.19848458457931784
CSF1,0.23045347922827294,0.0719495320721219,0.05263134549387631,0.05348206836759029,0.3430621128294818,0.0,0.0,0.0877574805061934,0.2215586054751605,0.21559712136351722,0.12099247972646723,0.42118043621918005,-0.09814786225363438,0.19915400790862214,0.3346326579487568,0.05361339038624735,0.0,0.06877844560461141,-0.027543478466213432,0.0,0.22815482034235185,1.0,0.0,0.07007264113790465,0.31378035843348845,0.0,0.18585309320665372,0.43800146522471484,-0.31903338995532937,0.0,0.051028006393964535,0.0,0.4439027610376646,0.3142150164597271,0.21095522618095455,0.10446021814329197,0.37062126882285235,0.18909744158609346,-0.08667107951098425,0.0,0.06785645349321577,0.2558501381982961,0.3022891314962224,0.26623413514221717,0.5129458489269075,0.08125410569573113,0.0,0.28020653489337544,0.039621265656219845,0.10888578247076747,-0.5585742402948418,0.1725443246722028,0.34590818348238955,-0.08537874214938322,-0.3980640942475435
